name	id	demonstration_events_competed_in	demonstration_medals_won	country	medals_won
Kellie Suttle	/m/03cnh9g				
Tashi Peljor	/m/03qhb7				
Andrei Fetisov	/m/047rwmc				
Carl-Erik Asplund	/m/04q0bzw				/m/07q9d9h
Oliver Lampe	/m/04gr9xg				
Pak Chol Min	/m/04glvlt			/m/0gb5qnz	/m/04gc2gv,/m/07w3_79
Alois Hudec	/m/03ynlpz				/m/07ngt2x
Marko Asell	/m/04jc_nd				/m/09g9vx4
Lili Tampi	/m/03gxf3p				
Clayton Fredericks	/m/04gc09q			/m/0cj5sbm	/m/04gc05y
Jung Sang-Jin	/m/04cr2y_			/m/0k8nyv0	
Wanda Guenette	/m/04cs628				/m/064ctqt
Andreea Grigore	/m/04gc1z1			/m/0gb5qmn	/m/04gc1y2
Ulf Hoffmann	/m/03gttmf				
Lloyd Spooner	/m/03hn9xd				/m/07nb5l8
María Luisa Calle	/m/03m4__b			/m/0kf7mxp,/m/065t6_f,/m/0kh7cpm,/m/065t5jt	/m/07706b7
Clifford Sibusiso Mamba	/m/03d24vy				
Huang Nanyan	/m/03gw3nc				
Paul Wyatt	/m/03g_2n8				/m/07njl_7,/m/07n666l
Jamie Peterkin	/m/04cywll				
Aimé Cassayet-Armagnac	/m/03d4yt6				
Peter Narup	/m/03y9gt5				
Amado Azar	/m/03ckjkd				/m/07ygjpp
Dina Rizzo	/m/04f9g2b			/m/04f9dx9	
Regla Bell	/m/03ckblq				/m/062_lxp,/m/063hw5c,/m/063jcps
Tollef Tollefsen	/m/03cggm6				
David Veilleux	/m/0gjdy2n			/m/0k8khsp	
Nicholas Roche	/m/0gwjf7			/m/0k8n4pb	
Marianne Kriel	/m/0g2rkm				/m/08_clw5
Ivan Dvorny	/m/0g97rs				
Mircea Simon	/m/0g229d				/m/07yj9xl
Mohammad Al-Azemi	/m/0h3qxb1			/m/0kjpl1l	
Márta Rudas	/m/0gl1r4				/m/07k7v95
Alexandra Tsiavou	/m/0h3lg19			/m/0k8mxrp	/m/0kvy_gy
David Torosyan	/m/0gml92				/m/07ygnxt
Slobodan Kačar	/m/0g65gr				/m/07nwl49
John Cregan	/m/0h0plh				/m/07npfvk
Aschwin Wildeboer	/m/0g6p71				
Urban Lindgren	/m/0ghll_				
Erik Pfeifer	/m/0h7nbxj			/m/0k8m36k	
Reijo Ståhlberg	/m/0g234q				
Vladimir Novak	/m/0gfqp9				
Bruno Alves	/m/0g6402				
Valent Sinković	/m/0g5809_			/m/0k8l8hz	
Harry Mallin	/m/0h2k7r				/m/07njw32,/m/07nv7qg
Juan Luis Mora	/m/0gy8g1				
Ibrahim Al-Harbi	/m/0gtb63				
Galina Bystrova	/m/0gpzct				/m/07gq168
Jason Morris	/m/0gt_wd				/m/07ylj8s
Polen Uslupehlivan	/m/0h7q32p			/m/0k8r2cl	
Réda Benzine	/m/0h2yz5				
Lisa Vitting	/m/0h1dyr2			/m/0k8m5xm	
Evgeniya Startseva	/m/0gh8bzk			/m/0kd12s9	
William Meynard	/m/0h1df4x				
Yudel Johnson Cedeno	/m/0g18hd				/m/07b08xn
Harald Winkler	/m/0gfsj2				
Thomas Schroll	/m/0gfsnl				
Tai Tzu-ying	/m/0h1gz6w			/m/0kcgy2h	
Sebastian Schmidt	/m/0g573z6			/m/0kgmv65	
Marek Twardowski	/m/0gmjfz				
Axel Sjöblom	/m/02qm_7p				
Olga Rypakova	/m/02rln8t			/m/0k8ntvw	/m/0lb8lbx
David Grogan	/m/02rlfwv				
Gunnar Sauer	/m/02rlf4f				
Thiago Pereira	/m/026by7g			/m/0k8k67m	
Jong Yong Hyok	/m/02x0d7h				
Paolo De Ceglie	/m/026dq80				
Luis Suárez	/m/026f4lr			/m/0kfys5w	
Thomas Fogdö	/m/026f5_f				
Trevor Stewardson	/m/026fc6w				
Pat LaFontaine	/m/03cncp				
Charlie White	/m/026g32m			/m/0b3tqwb	/m/0b6c98l
Arkady Andriasyan	/m/026gq6c				
William Martin	/m/02rl97x				
Georgi Todorov	/m/02rl7z8				
James Wilson	/m/026hj7v				/m/07njw1s
Eero Berg	/m/026hvjm				/m/07nnh3d
Alexandros Terzian	/m/02rk_rv				
Orlando Bianchini	/m/026lqbp				
Karl Wallmüller	/m/02rjv_r				
Torleif Torkildsen	/m/02qtq2p				
Jan Wils	/m/02_77f				
Iolanta Ulyeva	/m/02wz4wk				
Dominik Hašek	/m/026rxp				/m/0678ctv
Haruo Urata	/m/03ct4_l				
Vladimir Koslov	/m/02wyx09				
Nicolette Teo	/m/026xpd9				
Gloria Kemasuode	/m/026yggt				
Olena Shekhovtsova	/m/026yrxx				
Paweł Stok	/m/02rgr37				
Geoffrey Stewart	/m/0270qyp			/m/04dnmz1	
Albert Weber	/m/02qyspf				
Oscar Vega	/m/02720w6				
Gunnar Tallberg	/m/02qyv23				
Emmanuel Agassi	/m/0275xwf				
Per Halle	/m/02765tx				
Bernard Carp	/m/02qz59p				
Johan Faye	/m/02qzgwc				
İsmail Ogan	/m/02887gv				/m/07kzxv6,/m/07nnp2y
Mohammed Hussain	/m/02rccwz				
Renzo De Vecchi	/m/02qzjb3				
Choi Min-Kyung	/m/0287lq3				
Sally McLellan	/m/0287hgn			/m/0k8jryx,/m/0gl6m0q	/m/04hdw0b
Howard Kingsbury	/m/03ch0vb				
Max Bröske	/m/02r06z6				
Stuart Farquhar	/m/02wwp8g			/m/0k8pb7k	
Bernd Hahn	/m/02vmxlr				
Vadim Strogalev	/m/027c5h6				
Dennis van der Geest	/m/0282gm6				/m/07708hq
Olaf Syvertsen	/m/02r1j6q				
Gillian O'Sullivan	/m/027f03y				
Viktor Olsen	/m/027gts_				
Jaakko Ojaniemi	/m/027wwt_				
Tao Bu	/m/027wnng				
Imre Zachár	/m/02r26mt				
Björn Bothén	/m/03c3xs2				
Lautaro Acosta	/m/027qh8g				
L Johnson	/m/02hh5td				
Yekaterina Volkova	/m/02z2ffd				/m/07w1dcv
Peter Wenzel	/m/02hh5kj				/m/07yj71x
V Siikaniemi	/m/02hh3ns				
Petre Rosca	/m/02hh39x				
John Muldoon	/m/02z1djp				
Kumiko Okamoto	/m/02ptcg7				
Aleksandr Abushakhmetov	/m/02hh2jl				
Eun-Young Nam	/m/02hh25q				
Michele Mian	/m/02z0hvt			/m/09k1t4_	/m/09j9cyq
Desmond Dalworth Koch	/m/02hh0sq				
Geoff Stewart	/m/02hh08z				
Tom Steels	/m/02qk513				
Rick Bockelie	/m/03ccyjf				
Maurice Peeters	/m/02qgghv			/m/065t9x8,/m/065t9qv	/m/07nx977
Mnatsakan Iskandarian	/m/02hjxf4				/m/07ylfl5
Katalin Sagi-Rozsnyoi	/m/02hjwfg				
Stéphane Michon	/m/02qg2vp				
Ki Sung-yong	/m/02zbjhq			/m/0k8nyy5	/m/0ktf0h3
Robert Rousseau	/m/02hjvvq				
Maria Consolata Collino	/m/02hgzl0				/m/07yjfng
Ebrahim Javadipour	/m/02hjt3l				
Lesley McNaught	/m/02hgyr_				
Marita Sandig	/m/02hjrql				
Christel Steffin	/m/02hjrd8				
Mitchell J. Richmond	/m/02hjq2n				
Timo Murama	/m/02qchhp				
Ling Yang	/m/02hjpzq				/m/083jddc
Reijo Leppänen	/m/02q_h5d				
Jozsef Nagy	/m/02hjnlg				
Trygve Pedersen	/m/02q_8fw				
Andrija Ankovic	/m/02hjn32				
Olga Guzenko	/m/02hjlq2				
Bogdan Kowalczyk	/m/02x8xp0				
Lawrence Ellwyne Myricks	/m/02hgylc				
Samo Gostisa	/m/02q9pff				
Jozsef Gurovics	/m/02hjlfv				
Hugh Arthur Wardell-Yerburgh	/m/02hjk6n				
Carlos Rossello	/m/02hjk24				
Aowei Xing	/m/02hjjdd				
Jiri Holik	/m/02hjj2g				
Koichi Hirakida	/m/02hjh72				
Thelma H. Kalama	/m/02hjgfd				
Jo-Sun Kim	/m/02hjfvn				
Gabriela Stacherová	/m/02q929m				
Gustaf Adolf Boltenstern, Jr.	/m/03c6315				/m/07n8kfl
John H. Hendrickson	/m/02hgtm2				
Kevin Bernard Robinzine	/m/02hjfdz				
Elke Sehmisch	/m/02hjclv				/m/0b72hzc
German Titov	/m/02q8574				/m/0684vf2
Ahmad Riaz	/m/02hgs8j				
Bertalan Papp	/m/02hjcfz				
Rolf Gerber	/m/02xck30				
Ondřej Štěpánek	/m/02q7xg_			/m/0kf7qc4	
Jozefa Ledwig	/m/02hjb28				
Terence Walsh	/m/02hj926				
Bengt Folke Bengtsson	/m/02hgs40				
Silvia Farina Elia	/m/02lf29				
Conrad Heidkamp	/m/02qkz3n				
Zakaria Chihab	/m/02hj618				
J. Garlesteano	/m/02hj4jx				
Irina Parkhomchuk	/m/02hj3cs				
Christina Seufert	/m/02hj394			/m/04dq8hr	/m/04dq0pr
Henri Rang	/m/03c59f1				/m/07ngtct
Svilen Aldinov Roussinov	/m/02hj2nb				
Roy Heiner	/m/02hj29g				/m/07zkdrp
Bassel El Gharbawy	/m/02vpqy9				
Jung Hwa Hyun	/m/02hj0hq				
Frederick Munroe Bourne	/m/02hj086				
Michael Lyle Shine	/m/02hj00x				
Sebastian Koeber	/m/02hgqf8				
Govind Billimogaputtaswamy	/m/02hhz06				
Martin Emmett Toppino	/m/02hhxxl				
J Lehnert	/m/02hhwbq				
Antonio Borges D'Almeida	/m/02hhtsg				
Věra Klimková	/m/02qmcm6				
Steve Hutchinson	/m/02z6lb7				
Audrey Garland	/m/02z6khf				
Richard Rowles	/m/02q1zgj				
Georg J. W. Nordblad	/m/02hhrx2				
Michael Hart	/m/02x41h1				
Anders Soedergren	/m/02hhpbj				
Dragoslav Sekularac	/m/02hhn86				
Katica Iles	/m/02hhn0x				
Paul Lijandier	/m/02hhmmd				
Frederick Morgan Hansen	/m/02hhl4b				
Nikolai Vekšin	/m/03c64ks				
Joe Nieuwendyk	/m/02yhnn				
Bertil Antonsson	/m/03ccbxq				/m/07n8kpm,/m/07vl4kk
Yuri Yermakov	/m/02hhjrb				
David John Were Bond	/m/02hhjb0				
Harald Eriksson	/m/02p9w6g				/m/07q946n
Bruce Frayne	/m/02p_9t3				
Ján Šlahor	/m/02q0s3k				
Olga Zhevkova	/m/02hhh4x			/m/09k1sz6	/m/0987m2q
Slawomir Kuczko	/m/02qkgpb			/m/0k8pq4r	
John McKilligan	/m/02z4yr8				
Paolo Barelli	/m/02pjs3c				
Cor Blommers	/m/02q0fqz				
Georgy Pogosov	/m/02pzcx4				
Marie Collonvillé	/m/02pkjlz				
Walter Thane Baker	/m/02hhghj				
Mi-Ja Lee	/m/02hgplg				
Xaver Hörmann	/m/03d28sn				/m/07mx9sp
Henryk Nielaba	/m/02hhgbn				
Aleš Chvalovský	/m/02z3d6m				
Harry Steele	/m/02hhg0q				
Jacqueline Margaret Pereira	/m/02hhfw8				
William Frederick Crothers	/m/02hhdjj				
Henry William Furse Hoskyns	/m/02hhdc2				/m/07k7wfp
Charlie Ogletree	/m/02hhbms			/m/04f9dzn	
Kim Hyun-Ok	/m/02z2wsh				
Robert L.Jackson Robinson	/m/02hh_rq				
Thomas C. Smith	/m/02hh_7z				
Steven Garrett Gregg	/m/02hh92z				/m/07ygzl3
Bernard Dunand	/m/02hh7vv				
German Lux	/m/02hh7pz				
Richarda Schmeisser	/m/02hgp7l				
Manfred Schmorde	/m/02hgp32				
Brendan Shanahan	/m/039wng				
Alastair Gordon	/m/02hglgb				
Henry Boerio	/m/02hgkwl				/m/07yjfnq
Pavel Svojanovsky	/m/02hgj72				
Mahmoud Hassan Ali	/m/02hghl8				
Hye Suk Hwang	/m/02hghgx				
Nenad Kljaic	/m/02hgd0v				
Bohmila Rimnacova	/m/02hgcmb				
Masahiro Tanaka	/m/02rv8wz				
Derek Allhusen	/m/02vrmmn				/m/07nd_9j
Andrea Marrazzi	/m/02hgc8g				
Jarosław Lewak	/m/02vnxnm				
Jan Palous	/m/02hg9wn				
Xuqing Liu	/m/02hg874				
Arnulf Meffle	/m/02vl228				/m/09kkt3l
Marin Gheorghe	/m/02hg5fq				
Ramona Pagel	/m/02vz5zk				
Launi Kay Meili	/m/02hg566				
Ilona Brand	/m/02vz6gc				
Pieter Johannes Alexander Salomons	/m/02hg4kd				
Anatoli Tarabrin	/m/02hg3z2				
Gilbert T. Gray	/m/02hg258				
Ulrich Viefers	/m/02hg1dj				
Paul Louis Jean Valcke	/m/02hg0s8				
Christen Albert Piek	/m/02hg0nx				
Amber Bradley	/m/02hfzd9				
Werner Lampe	/m/02hfxzr				/m/07j074r,/m/0b72j9f
Sergei Charkov	/m/02hfwvk				
Young-Nae Yoon	/m/02hfwdw				
Ginko Abukawa-Chiba	/m/02hfv05				
Roman Skorniakov	/m/02rtm60				
D. McLeod	/m/02hftt1				
Andrea Lloyd	/m/02hftn5				
Raymond George Lumpp	/m/02hfth9				
Evgenia Shishkova	/m/025xmcp				
Albert de Roocker	/m/02hfs_r				
Dmitri Drevine	/m/02hf_zs				
Frank MacKey	/m/02rsbyq				
Kevin Scott	/m/025yv0l				
Kerrith Brown	/m/02w119r				/m/07gz3js
Albert Duncanson	/m/03cyzpv				
Jan Flinik	/m/02rrsf3				
Gheorghe Constantinide	/m/02rpyqm				
Salah Qoqaiche	/m/02qshm2				
Ryoko Tani	/m/023j9v			/m/0gbv8ps,/m/0gbv8pb,/m/0gbv8pk,/m/0gbv8np	/m/04gc312,/m/07z068r,/m/07b0slc,/m/07bxd72
Harry Wade	/m/02rpsk7				
Jennifer Oeser	/m/02689sr			/m/0k8m479	
Eino Saastamoinen	/m/02qskk2				
Leonardo Costa	/m/0269_qs				
Johannes van Hoolwerff	/m/03c3h0z				
Tom Bertram	/m/09j7np				
Dhawee Umponmaha	/m/09cp5x				/m/07m47lf
Emmanuel Foulon	/m/09z7zj				/m/07ntj7t
Karine Laurent Philippot	/m/09gmqgs			/m/064j0fg,/m/0b68_dy,/m/064j0gf,/m/064j0g2	
Stefania Cicali	/m/09gbplp				
Grant McLeod	/m/09j9kg				
Tonny de Jong	/m/08z6wy				
Claudia Künzel	/m/09cmq3			/m/064t8hg,/m/064t8h6	/m/07rcykg,/m/0b7199y,/m/064t9t7,/m/064t809,/m/0b6t9yq
Nicola Sanders	/m/08y70y			/m/0k8mql1	
Mandy Smith	/m/094847				
Maxim Staviski	/m/0b1q81				
Maurice Edelston	/m/09r5tx				
Paul Ackerley	/m/093m4t				
Elise Ray	/m/09vjzb				
Nick Carter	/m/09jb_q			/m/065tbjn	
Haley Cope	/m/09rvll6			/m/04gcs69	/m/04gcs6k
Neil Walker	/m/094567				/m/0b7bv83,/m/0b7ct5w,/m/0b72kcf
Peter Konyegwachie	/m/09cpl5				/m/07m47h8
Justin Snith	/m/09gk0hd			/m/0b65s9f	
Marie-Laure Delie	/m/09gkybp			/m/0k8lxhf	
Ahmed Salah	/m/090yl6				/m/07c7wgr
Lucas Neill	/m/04vqnb				
Robert Guillard	/m/043lvsp				
Mark Pearson	/m/04g4r44			/m/04g5971	
Raluca Stramaturaro	/m/04f_zdr			/m/0b51j4b	
Tom Goegebuer	/m/04jn6vv			/m/04g6djl,/m/0k8k00q	/m/05ym1qg
James Graham	/m/03hjq5c				/m/07nb4d0
Kim Deok-Hyeon	/m/047fkys			/m/0k8nz5s	
Aage Eriksen	/m/04jq3xk				
Frank Henry	/m/043pm1s				/m/07mvktm
Erick Scott	/m/040fzw				
Aurelio Lenzi	/m/03h2msg				
Aleksandr Anichenko	/m/03hmlqy				
István Veréb	/m/04n55cv				
Otto Müller	/m/04072k8				/m/07ty0pn
Viktor Kapitonov	/m/03hpddf			/m/065tc9z,/m/065tby2	/m/07msl2f
Romeo Neri	/m/03hp3zc				/m/07w2c6j,/m/07w2c4r,/m/07ngnxs
Jacques Descatoire	/m/043qvq_			/m/04f99n8	
Robert Bordeu	/m/043mx31				
Rohanee Cox	/m/04gr_kx				
Eric Staal	/m/04lvys			/m/09kgwft	/m/0b71nvd
Vladimir Kuznetsov	/m/04_0mv_				
Henry Marsh	/m/03gzz_z				
Fedon Mattheou	/m/04jcfht				
Walter Schuur	/m/04mxhlm				
Emílio Peixe	/m/03x_n9m				
Admir Mehmedi	/m/04f44hl			/m/0k8qw3s	
Emir Šarganović	/m/04gv081				
Sarah Josephson	/m/03m9_0t				
Ron Backes	/m/04cy2ht				
Valdemar Holberg	/m/04n1yx0				
Gill Henselwood	/m/04g4qy9			/m/04g58m2	/m/04h0_p_
Vladimir Fyodorov	/m/04f4w7y				
Malindi Elmore	/m/04g5f_t				/m/05ym1hb
Kim Young-Ho	/m/04ljygl				/m/079yvbm
Alberto Reynoso	/m/04gqp0s				
Robin Brew	/m/04mzsk9				
Irina Sokolovskaya	/m/04jcv9x				
Reginald Schroeter	/m/0414kkn				
Li Zhenzhu	/m/04gjjnf			/m/0k8k_fg	
Sabine Eichenberger	/m/04gqmc4				
Nathan Twaddle	/m/04jjnz_				
Eirini Kavarnou	/m/04gk252				
Daniele Masala	/m/0413kcw				/m/07j4sn4
Juan Giha	/m/03npb1f				/m/07zj787
John Kamyuka	/m/04jff0p				
Steven Wood	/m/04_03s4				
Sergei Grinkov	/m/04vjbc				
Richard Alexander	/m/04grzj0				
Mak So Ning	/m/04lhcpm				
Christine Robinson	/m/03rcmz				
Lisa Ryshich	/m/03mdfwd			/m/0k8m5wx	
Leandro Faggin	/m/047dhrb			/m/065tbx6	/m/07nhtd_
Therese Bengtsson	/m/04gd92s			/m/04gd952	/m/07yflqg
Chun In-Soo	/m/04123y4				
Marlenis Costa	/m/04ldqk2				/m/062_lxp
Jacques Riparelli	/m/04jc24g			/m/0k8n9wd	
Olivier Bausset	/m/04jfjmn				
Laura Asadauskaitė	/m/04jbcp7			/m/0kc2q6t	/m/0ksjh5q
Wolf-Rüdiger Netz	/m/03h1nxq				
Mario Fuchs	/m/03nq70l			/m/0b432pd,/m/06689h9	
Andrei Aramnau	/m/04jfnlw			/m/04g6d4b	/m/07w4b32
Sata Isobe	/m/04lhmkv				
William Grosvenor	/m/03nsb0z				
Robert Pache	/m/03nsbqm				
